,family_history,sex,peer_discussion
1153,Yes,Female,Some of them
1154,Yes,Male,Some of them
1155,No,Male,Yes
1156,No,Male,Some of them
1157,Yes,Male,Some of them
1158,Yes,Male,No
1159,No,Male,No
1160,No,Male,Some of them
1161,No,Male,Some of them
1162,No,Male,No
1163,Yes,Male,Some of them
1164,No,Female,Some of them
1165,Yes,Male,Yes
1166,Yes,Male,Some of them
1167,No,Male,Some of them
1168,No,Male,No
1169,No,Female,Some of them
1170,No,Male,Some of them
1171,No,Male,No
1172,Yes,Female,Yes
1173,No,Male,Yes
1174,No,Male,Some of them
1175,Yes,Male,Some of them
1176,Yes,Female,No
1177,No,Male,Some of them
1178,No,Male,Some of them
1179,No,Female,Yes
1180,No,Female,Some of them
1181,Yes,Male,Some of them
1182,Yes,Female,Some of them
1183,Yes,Female,Some of them
1184,No,Female,Some of them
1185,No,Female,Some of them
1186,No,Female,No
1187,Yes,Male,Some of them
1188,No,Female,Some of them
1189,Yes,Male,Some of them
1190,Yes,Male,Some of them
1191,Yes,Male,No
1192,No,Male,Some of them
1193,No,Male,Some of them
1194,No,Male,Some of them
1195,No,Female,Some of them
1196,No,Female,Some of them
1197,No,Male,Some of them
1198,No,Male,Some of them
1199,No,Male,Some of them
1200,No,Male,No
1201,No,Female,Some of them
1202,No,Male,Yes
1203,No,Male,Some of them
1204,Yes,Male,Some of them
1205,No,Male,Some of them
1206,Yes,Male,Some of them
1207,No,Male,Some of them
1208,Yes,Male,Some of them
1209,Yes,Male,No
1210,Yes,Male,No
1211,No,Male,Yes
1212,No,Female,Some of them
1213,No,Male,Some of them
1214,No,Male,Some of them
1215,No,Male,Some of them
1216,No,Male,Some of them
1217,No,Male,Some of them
1218,No,Male,Some of them
1219,No,Male,Yes
1220,Yes,Male,Some of them
1221,Yes,Male,Some of them
1222,No,Female,Yes
1223,No,Male,Some of them
1224,Yes,Male,Some of them
1225,No,Female,Yes
1226,No,Male,No
1227,Yes,Female,Some of them
1228,Yes,Male,Some of them
1229,No,Male,No
1230,Yes,Female,Yes
1231,No,Cis Man,Some of them
1232,Yes,Male,Yes
1233,No,Male,Yes
1234,No,Male,No
1235,No,Male,Yes
1236,No,Male,Some of them
1237,No,Male,No
1238,Yes,Male,Some of them
1239,No,Male,Yes
1240,Yes,Male,Some of them
1241,No,Male,Some of them
1242,No,Male,No
1243,Yes,Female,Some of them
1244,No,Female,Some of them
1245,Yes,Male,No
1246,No,Male,No
1247,No,Male,Some of them
1248,Yes,Female,No
1249,Yes,Male,Yes
1250,Yes,Male,Some of them
1251,Yes,Male,Some of them
1252,Yes,Male,Some of them
1253,Yes,Male,Some of them
1254,No,Male,Some of them
1255,Yes,Male,Some of them
1256,Yes,Male,No
1257,No,Female,No
1258,Yes,Male,Some of them
