,family_history,sex,peer_discussion
1201,Yes,male,Maybe
1202,Yes,female,No
1203,Yes,Male,Maybe
1204,Yes,Male,Yes
1205,No,Male,Maybe
1206,I don't know,Male,Maybe
1207,Yes,female,No
1208,Yes,female,Maybe
1209,No,female,No
1210,I don't know,m,
1211,Yes,Male,No
1212,No,Female,Maybe
1213,No,Male,Maybe
1214,Yes,Female,
1215,Yes,F,
1216,No,Male,No
1217,No,m,
1218,I don't know,Male,Maybe
1219,I don't know,Male,
1220,Yes,female,
1221,I don't know,Male,Yes
1222,Yes,Male,No
1223,No,Male,Yes
1224,I don't know,F,Yes
1225,Yes,male,Maybe
1226,Yes,male,Maybe
1227,Yes,Cis-woman,Maybe
1228,I don't know,male,No
1229,Yes,Male,
1230,No,m,Maybe
1231,Yes,Male,Yes
1232,Yes,male,Maybe
1233,Yes,Genderqueer,Maybe
1234,Yes,Male,Maybe
1235,Yes,non-binary,Maybe
1236,Yes,woman,No
1237,Yes,male,No
1238,No,Male,Maybe
1239,Yes,Male,
1240,Yes,male,No
1241,I don't know,M,Maybe
1242,I don't know,Male,No
1243,No,male,No
1244,No,male,Maybe
1245,No,Male,Maybe
1246,Yes,male,Yes
1247,Yes,male,
1248,I don't know,F,
1249,Yes,male,Maybe
1250,No,cisdude,Maybe
1251,Yes,Female,Maybe
1252,Yes,female,
1253,No,Male,Maybe
1254,Yes,male,
1255,No,M,No
1256,Yes,male,
1257,Yes,Male,Maybe
1258,I don't know,Male,Maybe
1259,I don't know,Male,Maybe
1260,No,male,No
1261,Yes,male,
1262,Yes,Female,
1263,Yes,Male,Maybe
1264,Yes,Female,No
1265,Yes,male,
1266,Yes,Male ,Maybe
1267,No,male,No
1268,No,Male,Maybe
1269,Yes,male,Maybe
1270,Yes,female,Yes
1271,Yes,male,Maybe
1272,I don't know,male,
1273,Yes,Genderflux demi-girl,Yes
1274,No,Male,Yes
1275,Yes,Male,No
1276,I don't know,Man,
1277,Yes,female,
1278,Yes,male,Yes
1279,Yes,Male,Yes
1280,Yes,Male,Maybe
1281,I don't know,Male,
1282,Yes,M,No
1283,No,male,No
1284,Yes,Male,Maybe
1285,I don't know,Male,Maybe
1286,Yes,Female,No
1287,No,m,Yes
1288,No,male,
1289,No,Male,No
1290,Yes,Female,Maybe
1291,Yes,male,Maybe
1292,I don't know,female-bodied; no feelings about gender,Maybe
1293,Yes,Male,
1294,Yes,female,No
1295,Yes,Male,No
1296,I don't know,Male,No
1297,No,male,Maybe
1298,Yes,m,No
1299,Yes,M,
1300,Yes,M,Yes
1301,Yes,Male,
1302,Yes,Male,No
1303,Yes,f,No
1304,I don't know,male,
1305,No,Male,
1306,Yes,Female,Maybe
1307,Yes,Male,No
1308,I don't know,male,No
1309,No,male,
1310,No,male,No
1311,Yes,cis man,Yes
1312,Yes,,No
1313,Yes,Female,
1314,No,Male,No
1315,Yes,F,
1316,I don't know,female,Yes
1317,Yes,Male,Maybe
1318,No,Female,No
1319,No,Male,No
1320,Yes,Female,No
1321,I don't know,f,
1322,I don't know,Male (cis),Maybe
1323,Yes,Female,Maybe
1324,Yes,male,Yes
1325,No,M,Yes
1326,Yes,female,
1327,Yes,f,
1328,No,male,Yes
1329,No,Male,No
1330,Yes,female,Yes
1331,Yes,female,Maybe
1332,No,male,
1333,Yes,Male,No
1334,Yes,Male,Yes
1335,I don't know,Male,No
1336,I don't know,Female,Maybe
1337,No,Male,Maybe
1338,Yes,male,Maybe
1339,I don't know,male,Maybe
1340,No,Male,No
1341,No,female,Maybe
1342,I don't know,male,Maybe
1343,Yes,Male,Maybe
1344,Yes,female,No
1345,No,Male,Maybe
1346,No,female,No
1347,I don't know,male,
1348,No,Male,Yes
1349,Yes,Male,No
1350,Yes,Male,No
1351,No,female,Yes
1352,No,Male,No
1353,I don't know,female,No
1354,Yes,male,
1355,I don't know,Male,Maybe
1356,No,Male,Maybe
1357,No,Male,Yes
1358,I don't know,Male,Yes
1359,I don't know,Female,Maybe
1360,Yes,Male,Maybe
1361,I don't know,Male,Maybe
1362,No,Male,Maybe
1363,Yes,Male,No
1364,Yes,Female,
1365,No,Female,
1366,Yes,male,Maybe
1367,Yes,Male ,
1368,No,Male,Maybe
1369,No,male,
1370,Yes,Male,
1371,I don't know,Male,No
1372,Yes,F,No
1373,Yes,m,Maybe
1374,No,AFAB,
1375,I don't know,male,No
1376,Yes,male,No
1377,Yes,male,Yes
1378,Yes,Female,No
1379,Yes,Female ,Maybe
1380,Yes,Female,Maybe
1381,No,Male,No
1382,Yes,Male,
1383,No,Male,Yes
1384,No,male,No
1385,No,Male,No
1386,I don't know,F,No
1387,Yes,Female,Maybe
1388,I don't know,male,Maybe
1389,No,male,Yes
1390,Yes,Male,No
1391,No,M,No
1392,Yes,Female,No
1393,Yes,Agender,Yes
1394,Yes,Male,Maybe
1395,Yes,male ,Maybe
1396,Yes,male,
1397,Yes,Male,No
1398,Yes,Male,Yes
1399,Yes,Male,Maybe
1400,Yes,female,Yes
1401,Yes,male,Maybe
1402,Yes,Male,Maybe
1403,Yes,Male,No
1404,Yes,Male,
1405,I don't know,Male,No
1406,Yes,Transgender woman,No
1407,Yes,male,No
1408,No,m,
1409,I don't know,Male,Maybe
1410,No,Male,No
1411,No,Female,No
1412,No,male,Maybe
1413,Yes,female,Yes
1414,Yes,female,Yes
1415,Yes,Female,Maybe
1416,No,Male,No
1417,Yes,Male,No
1418,No,M,No
1419,Yes,male,Yes
1420,I don't know,Male,
1421,I don't know,male,Yes
1422,No,male,Maybe
1423,No,Male,No
1424,I don't know,female,Maybe
1425,I don't know,Male,Maybe
1426,I don't know,Female,Maybe
1427,Yes,female,Yes
1428,Yes,Female ,
1429,Yes,MALE,
1430,Yes,Male,Yes
1431,Yes,Female,Maybe
1432,I don't know,non-binary,Maybe
